,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
,MONTO ,"S/.421,80","S/.0,00","S/.0,00","S/.454,40","S/.0,00","S/.2.602,00","S/.3.478,20",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
15/01/2026,CANTIDAD ,0,0,0,0,2,8,10,,8-ene,CANT. CONTACTOS ,12,3,0,,24-ene,CANT. CONTACTOS ,5,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.712,64","S/.1.990,30","S/.2.702,94",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
16/01/2026,CANTIDAD ,0,0,0,0,0,3,3,,,TASA DE VENTA ,"0,00%","0,00%",0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.454,00","S/.1.454,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
17/01/2026,CANTIDAD ,0,0,0,0,1,5,6,,9-ene,CANT. CONTACTOS ,11,13,0,,25-ene,CANT. CONTACTOS ,2,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.513,00","S/.2.641,70","S/.3.154,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
18/01/2026,CANTIDAD ,0,0,0,0,0,0,0,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
19/01/2026,CANTIDAD ,0,0,0,0,1,5,6,,10-ene,CANT. CONTACTOS ,4,3,0,,26-ene,CANT. CONTACTOS ,7,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.310,20","S/.1.504,00","S/.1.814,20",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
20/01/2026,CANTIDAD ,0,0,0,1,0,6,7,,,TASA DE VENTA ,0%,"0,00%",0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.625,20","S/.0,00","S/.1.220,20","S/.1.845,40",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
