74852833,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.434,60","S/.725,20","S/.1.159,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
17/02/2026,CANTIDAD ,0,0,0,1,3,6,10,,9-feb,CANT. CONTACTOS ,7,4,0,,23-feb,CANT. CONTACTOS ,58,4,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.340,60","S/.412,50","S/.1.481,00","S/.2.234,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,2,0,0
18/02/2026,CANTIDAD ,1,0,0,0,1,1,3,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.203,20","S/.0,00","S/.0,00","S/.0,00","S/.123,60","S/.153,30","S/.480,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.335,90","S/.0,00","S/.0,00"
19/02/2026,CANTIDAD ,0,0,0,0,2,8,10,,10-feb,CANT. CONTACTOS ,3,1,0,,24-feb,CANT. CONTACTOS ,42,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.352,20","S/.1.721,60","S/.2.073,80",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,1,0,0
20/02/2026,CANTIDAD ,0,0,0,0,3,2,5,,,TASA DE VENTA ,,"0,00%",0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.537,04","S/.307,70","S/.844,74",,,MONTO TOTAL,"S/.925,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.154,30","S/.0,00","S/.0,00"
21/02/2026,CANTIDAD ,0,0,0,0,0,4,4,,11-feb,CANT. CONTACTOS ,11,4,0,,25-feb,CANT. CONTACTOS ,26,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.670,80","S/.670,80",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
22/02/2026,CANTIDAD ,0,0,0,0,1,5,6,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
