,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
22/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,,,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,,,,,,MONTO TOTAL,,,
23/05/2026,CANTIDAD ,,,,,,,0,,12-may,CANT. CONTACTOS ,,,,,27-may,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,"S/.0,00",,,CANT. VENTAS ,,,,,,CANT. VENTAS ,,,
24/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,,,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,,,,,,MONTO TOTAL,,,
25/05/2026,CANTIDAD ,,,,,,,0,,13-may,CANT. CONTACTOS ,,,,,28-may,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,"S/.0,00",,,CANT. VENTAS ,,,,,,CANT. VENTAS ,,,
26/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,,,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,,,,,,MONTO TOTAL,,,
27/05/2026,CANTIDAD ,,,,,,,0,,14-may,CANT. CONTACTOS ,,,,,29-may,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,"S/.0,00",,,CANT. VENTAS ,,,,,,CANT. VENTAS ,,,
28/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,,,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,,,,,,MONTO TOTAL,,,
29/05/2026,CANTIDAD ,,,,,,,0,,15-may,CANT. CONTACTOS ,,,,,30-may,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,"S/.0,00",,,CANT. VENTAS ,,,,,,CANT. VENTAS ,,,
30/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,,,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,,,,,,MONTO TOTAL,,,
31/05/2026,CANTIDAD ,,,,,,,0,,,,,,,,31-may,,,,
,MONTO ,,,,,,,"S/.0,00",,,,,,,,,,,,
