,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
11/04/2026,CANTIDAD ,1,0,0,1,2,10,14,,6-abr,CANT. CONTACTOS ,11,1,0,,21-abr,CANT. CONTACTOS ,19,5,3
,MONTO ,"S/.350,00","S/.0,00", S/  -   ,"S/.450,00","S/.347,40","S/.3.204,00","S/.4.351,40",,,CANT. VENTAS ,1,1,0,,,CANT. VENTAS ,0,0,0
12/04/2026,CANTIDAD ,0,0,0,0,4,3,7,,,TASA DE VENTA ,,,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.084,80","S/.1.075,80","S/.2.160,60",,,MONTO TOTAL,"S/.106,60","S/.114,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
13/04/2026,CANTIDAD ,0,0,0,0,2,4,6,,7-abr,CANT. CONTACTOS ,7,2,0,,22-abr,CANT. CONTACTOS ,18,5,1
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.0,00","S/.1.573,00","S/.1.175,50","S/.2.748,50",,,CANT. VENTAS ,0,1,0%,,,CANT. VENTAS ,1,1,0
14/04/2026,CANTIDAD ,1,1,0,0,1,6,9,,,TASA DE VENTA ,0%,,0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.140,40","S/.229,40","S/.0,00","S/.0,00","S/.230,40","S/.2.084,90","S/.2.685,10",,,MONTO TOTAL,"S/.0,00","S/.128,40","S/.0,00",,,MONTO TOTAL,"S/.314,60","S/.429,00","S/.0,00"
15/04/2026,CANTIDAD ,1,0,0,2,0,4,7,,8-abr,CANT. CONTACTOS ,10,5,0,,23-abr,CANT. CONTACTOS ,4,6,0
,MONTO ,"S/.533,60","S/.0,00","S/.0,00","S/.590,00","S/.0,00","S/.1.484,50","S/.2.608,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
16/04/2026,CANTIDAD ,2,0,0,0,1,9,12,,,TASA DE VENTA ,"0,00%","0,00%",0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.367,80","S/.0,00","S/.0,00","S/.0,00","S/.152,10","S/.1.888,70","S/.2.408,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
17/04/2026,CANTIDAD ,0,0,0,0,0,8,8,,9-abr,CANT. CONTACTOS ,20,0,0,,24-abr,CANT. CONTACTOS ,12,2,3
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.795,10","S/.2.795,10",,,CANT. VENTAS ,0,0,0%,,,CANT. VENTAS ,2,0,0
18/04/2026,CANTIDAD ,0,0,0,0,0,7,7,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.475,90","S/.1.475,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.513,80","S/.0,00","S/.0,00"
19/04/2026,CANTIDAD ,0,0,0,0,2,3,5,,10-abr,CANT. CONTACTOS ,14,3,0,,25-abr,CANT. CONTACTOS ,15,4,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.681,90","S/.388,20","S/.1.070,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,1,0
20/04/2026,CANTIDAD ,1,0,0,0,4,10,15,,,TASA DE VENTA ,0%,"0,00%",0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.233,40","S/.0,00","S/.0,00","S/.0,00","S/.1.483,60","S/.3.135,60","S/.4.852,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.191,50","S/.189,00","S/.0,00"
21/04/2026,CANTIDAD ,0,0,0,0,4,21,25,,11-abr,CANT. CONTACTOS ,10,1,0,,26-abr,CANT. CONTACTOS ,9,1,2
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.000,48","S/.6.001,50","S/.7.001,98",,,CANT. VENTAS ,1,0,0%,,,CANT. VENTAS ,0,0,0
22/04/2026,CANTIDAD ,1,1,0,0,3,7,12,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.314,60","S/.429,00","S/.0,00","S/.0,00","S/.589,30","S/.2.122,10","S/.3.455,00",,,MONTO TOTAL,"S/.350,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
23/04/2026,CANTIDAD ,0,0,0,0,3,7,10,,12-abr,CANT. CONTACTOS ,15,1,0,,27-abr,CANT. CONTACTOS ,24,4,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.080,90","S/.2.636,60","S/.3.717,50",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
24/04/2026,CANTIDAD ,2,0,0,0,2,10,14,,,TASA DE VENTA ,"0,00%","0,00%",0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.513,80","S/.0,00","S/.0,00","S/.0,00","S/.497,80","S/.3.039,70","S/.4.051,30",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.334,00","S/.0,00","S/.0,00"
25/04/2026,CANTIDAD ,1,1,0,0,1,14,17,,13-abr,CANT. CONTACTOS ,12,0,0,,28-abr,CANT. CONTACTOS ,9,2,1
